city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"manteca, california",7956,14807,15908,4876,1827,235800.0,4933,75427.0,5856,2373,184,481,467,494
"manteca, california",7956,14807,15908,4876,1827,235800.0,4933,75427.0,5856,2373,184,479,465,490
"manteca, california",7956,14807,15908,4876,1827,235800.0,4933,75427.0,5856,2373,184,477,454,479
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,530,527,536
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,479,478,480
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,552,547,575
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,474,469,508
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,566,579,611
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,482,484,517
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,418,419,434
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,467,465,499
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,389,386,393
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,446,439,472
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,502,475,518
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,542,548,585
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,521,516,551
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,515,514,553
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,413,415,449
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,440,441,481
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,639,655,697
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,473,469,467
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,476,459,468
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,608,614,635
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,536,526,544
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,427,425,425
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,509,499,512
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,477,465,458
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,583,583,595
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,476,450,441
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948,383,374,393
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,484,462,469
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,576,555,558
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,460,459,510
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,442,433,474
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,415,398,408
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,439,430,507
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,464,457,466
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,375,369,349
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,462,451,521
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,585,580,627
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,347,350,447
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,412,408,444
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,397,398,415
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,326,311,368
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,457,454,503
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,458,449,517
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969,428,414,421
"santa clara, california",6682,12156,18402,24154,20819,673600.0,4156,122150.0,4811,14913,113,519,514,538
