School Name,School Code,Tests Taken,Reading,Writing,Math
Springfield - Springfield Central High,02810500,     383,403,386,410
Springfield - Springfield High School,02810570,       7,,,
Springfield - Springfield High School of Science and Technology,02810530,     178,332,306,336
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,      94,433,428,433
Stoneham - Stoneham High,02840505,     123,497,498,490
Stoughton - Stoughton High,02850505,     195,512,502,518
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,     194,585,563,562
Sutton - Sutton High School,02900510,      96,523,502,521
Swampscott - Swampscott High,02910505,     148,520,515,535
Swansea - Joseph Case High,02920505,      74,521,495,539
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,      17,514,491,472
Tantasqua - Tantasqua Regional Sr High,07700505,     139,543,520,575
Tantasqua - Tantasqua Regional Vocational,07700605,      27,493,451,519
Taunton - Taunton Alternative High School,02930525,       4,,,
Taunton - Taunton High,02930505,     306,495,475,502
Tewksbury - Tewksbury Memorial High,02950505,     199,495,489,512
Tri County Regional Vocational Technical - Tri County Regional Vocational Technical,08780605,     112,489,460,494
Triton - Triton Regional High School,07730505,     133,523,518,550
Tyngsborough - Tyngsborough High School,03010505,     111,493,469,517
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,      82,466,434,483
Uxbridge - Uxbridge High,03040505,      88,511,498,523
Wachusett - Wachusett Regional High,07750505,     472,538,524,554
Wakefield - Wakefield Memorial High,03050505,     215,524,521,537
Walpole - Walpole High,03070505,     272,527,524,538
Waltham - Waltham Sr High,03080505,     232,473,471,500
Ware - Ware Junior/Senior High School,03090505,      30,482,448,487
Wareham - Wareham Senior High,03100505,      77,479,452,483
Watertown - Watertown High,03140505,     141,503,487,534
Wayland - Wayland High School,03150505,     201,595,593,619
Webster - Bartlett High School,03160505,      53,493,470,491
Wellesley - Wellesley Sr High,03170505,     306,601,598,614
West Boylston - West Boylston Junior/Senior High,03220505,      48,523,504,525
West Bridgewater - West Bridgewater Junior/Senior,03230505,      94,506,496,508
West Springfield - West Springfield High,03320505,     145,487,479,508
Westborough - Westborough High,03210505,     225,583,577,608
Westfield - Westfield High,03250505,     188,527,503,526
Westfield - Westfield Technical Academy,03250605,      13,452,399,458
Westford - Westford Academy,03260505,     382,594,580,612
Weston - Weston High,03300505,     143,604,603,627
Westport - Westport Senior High School,03310505,      49,484,477,460
Westwood - Westwood High,03350505,     206,557,548,578
Weymouth - Weymouth High School,03360505,     342,503,491,510
Whitman-Hanson - Whitman Hanson Regional,07800505,     222,499,499,518
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,     164,468,435,468
Wilmington - Wilmington High,03420505,     181,514,508,527
Winchendon - Murdock High School,03430515,      28,471,449,463
Winchester - Winchester High School,03440505,     295,587,586,617
Winthrop - Winthrop Sr High,03460505,     117,481,469,494
Woburn - Woburn High,03470505,     260,495,481,516
Worcester - Burncoat Senior High,03480503,     114,452,446,457
Worcester - Claremont Academy,03480350,      34,354,360,371
Worcester - Doherty Memorial High,03480512,     253,468,453,484
Worcester - North High,03480515,     165,400,384,409
Worcester - South High Community,03480520,     156,440,432,473
Worcester - University Pk Campus School,03480285,      37,435,428,471
Worcester - Worcester Technical High,03480605,     209,432,422,437
