city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"state college, pennsylvania",316,1363,2012,3331,4799,277100.0,1534,105772.0,105,1644,36
"audubon, pennsylvania",169,1143,879,2102,1654,341900.0,113,124722.0,27,391,46
"chambersburg, pennsylvania",2498,4890,2895,1921,1032,157300.0,745,56512.0,1390,124,275
"coatesville, pennsylvania",1630,3221,1636,660,302,134600.0,906,59617.0,996,63,505
"downingtown, pennsylvania",566,1764,1383,1308,455,219100.0,341,83405.0,50,345,37
"phoenixville, pennsylvania",940,3874,2379,3310,1408,209200.0,659,72851.0,991,216,129
"columbia, pennsylvania",1193,3651,1396,587,256,102700.0,385,54603.0,124,139,37
"bellevue, pennsylvania",482,2014,1862,1319,669,101600.0,419,69250.0,28,82,49
"coraopolis, pennsylvania",419,1394,1216,816,275,83600.0,249,51494.0,8,62,41
"bethlehem, pennsylvania",6375,16314,13162,7474,5570,170500.0,2545,65004.0,4999,1422,218
"harrisburg, pennsylvania",6204,11208,7619,3808,2026,84400.0,3771,48836.0,2954,1808,1470
"paxtang, pennsylvania",57,309,320,226,177,136400.0,67,74375.0,7,18,2
"bernville, pennsylvania",83,221,158,65,29,157500.0,29,61818.0,23,3,4
"canonsburg, pennsylvania",618,2482,1622,1434,524,128600.0,331,55397.0,76,75,21
"altoona, pennsylvania",3388,15148,7143,3700,1599,85400.0,1747,49281.0,42,90,124
"colonial park, pennsylvania",787,2919,2652,1531,1131,156900.0,393,71818.0,335,511,70
"allentown, pennsylvania",16646,26030,19250,7625,3711,126900.0,7323,55123.0,17189,2939,1038
"fountain hill, pennsylvania",492,1060,873,473,487,131600.0,122,50709.0,278,13,17
"sharon, pennsylvania",1288,4043,2375,1326,480,59500.0,629,47722.0,98,197,128
"dale, pennsylvania",131,409,176,51,8,40800.0,55,35000.0,5,16,7
"berwick, pennsylvania",1052,3383,1327,699,297,97400.0,426,49543.0,86,185,13
"lawnton, pennsylvania",237,994,761,461,217,162000.0,155,72625.0,10,122,51
"rutherford, pennsylvania",353,1192,1069,498,109,147500.0,183,66139.0,53,218,77
"collingdale, pennsylvania",512,2340,1816,694,289,119300.0,519,59358.0,31,187,151
"colwyn, pennsylvania",175,575,458,277,83,92500.0,145,58990.0,25,130,74
"midland, washington",938,2003,1634,620,142,157300.0,400,45590.0,553,521,24
"jenkintown, pennsylvania",49,558,558,1139,809,253800.0,76,86500.0,50,29,16
"oreland, pennsylvania",195,986,871,923,723,290100.0,290,99637.0,55,88,11
"temple, pennsylvania",133,575,213,158,31,126200.0,68,63182.0,36,11,12
"monroevi, pennsylvania",1207,5887,6169,5111,3174,132400.0,758,71688.0,44,561,91
"mohnton, pennsylvania",157,779,559,359,214,159400.0,86,66007.0,20,23,14
"waynesboro, pennsylvania",1087,3253,1800,755,451,140000.0,731,55224.0,109,79,108
"old forge, pennsylvania",563,2592,1636,1069,475,137100.0,308,60064.0,34,60,5
"plum, pennsylvania",1139,5940,5939,4471,2424,141700.0,818,75735.0,105,250,18
